username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
gg,1,A,2026-06-25T10:08:40.077406,28.0,55.0,2.0,9.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0
gg,2,A,2026-06-25T10:08:40.831797,40.0,42.0,3.0,7.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0
gg,3,skip,2026-06-25T10:10:16.527442,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
gg,4,skip,2026-06-25T10:10:17.295610,45.0,40.0,6.0,8.0,8.0,9.0,2.0,3.0,0.0,1.0,7.0,8.0
gg,5,B,2026-06-25T10:10:20.262878,38.0,40.0,5.0,5.0,7.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0
gg,6,B,2026-06-25T10:10:20.945500,30.0,52.0,2.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,9.0
gg,7,B,2026-06-25T10:10:23.548510,50.0,35.0,10.0,3.0,6.0,9.0,1.0,4.0,0.0,0.0,8.0,7.0
gg,8,B,2026-06-25T10:10:24.830553,48.0,60.0,7.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,8.0,7.0
gg,9,B,2026-06-25T10:10:26.096116,42.0,44.0,1.0,11.0,5.0,7.0,2.0,1.0,0.0,0.0,10.0,5.0
gg,10,B,2026-06-25T10:11:51.278532,25.0,62.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,7.0
gg,11,B,2026-06-25T10:11:51.781489,40.0,40.0,1.0,10.0,7.0,7.0,2.0,2.0,0.0,0.0,7.0,7.0
gg,12,B,2026-06-25T10:11:52.142339,45.0,45.0,5.0,5.0,9.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0
gg,13,B,2026-06-25T10:11:52.507648,30.0,58.0,8.0,2.0,9.0,4.0,3.0,0.0,0.0,2.0,9.0,3.0
gg,14,B,2026-06-25T10:11:52.927705,65.0,28.0,1.0,9.0,4.0,9.0,0.0,4.0,2.0,0.0,3.0,9.0
gg,15,B,2026-06-25T10:11:53.329870,55.0,30.0,2.0,6.0,5.0,8.0,0.0,2.0,1.0,0.0,10.0,4.0
gg,16,B,2026-06-25T10:11:53.675419,25.0,68.0,3.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,7.0,6.0
gg,17,B,2026-06-25T10:11:54.045078,29.0,50.0,2.0,8.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,9.0
gg,18,B,2026-06-25T10:11:55.249885,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
gg,19,B,2026-06-25T10:11:55.977832,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
gg,20,B,2026-06-25T10:11:59.945874,42.0,43.0,12.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,10.0
