username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
rs,1,A,2026-07-01T10:30:12.300180,28.0,55.0,2.0,9.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0
rs,2,B,2026-07-01T10:30:37.068738,40.0,42.0,3.0,7.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0
rs,3,B,2026-07-01T10:30:43.518735,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
rs,4,B,2026-07-01T10:30:56.537593,45.0,40.0,6.0,8.0,8.0,9.0,2.0,3.0,0.0,1.0,7.0,8.0
rs,5,A,2026-07-01T10:32:54.301586,38.0,40.0,5.0,5.0,7.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0
rs,6,A,2026-07-01T10:32:57.401502,30.0,52.0,2.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,9.0
rs,7,B,2026-07-01T10:33:00.401604,50.0,35.0,10.0,3.0,6.0,9.0,1.0,4.0,0.0,0.0,8.0,7.0
rs,8,A,2026-07-01T10:33:03.201580,48.0,60.0,7.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,8.0,7.0
rs,9,B,2026-07-01T10:33:06.432747,42.0,44.0,1.0,11.0,5.0,7.0,2.0,1.0,0.0,0.0,10.0,5.0
rs,10,A,2026-07-01T10:33:08.952580,25.0,62.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,7.0
rs,11,B,2026-07-01T10:33:11.184900,40.0,40.0,1.0,10.0,7.0,7.0,2.0,2.0,0.0,0.0,7.0,7.0
rs,12,A,2026-07-01T10:34:10.300604,45.0,45.0,5.0,5.0,9.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0
rs,13,A,2026-07-01T10:34:12.819854,30.0,58.0,8.0,2.0,9.0,4.0,3.0,0.0,0.0,2.0,9.0,3.0
rs,14,B,2026-07-01T10:34:14.903291,65.0,28.0,1.0,9.0,4.0,9.0,0.0,4.0,2.0,0.0,3.0,9.0
rs,15,B,2026-07-01T10:34:17.703872,55.0,30.0,2.0,6.0,5.0,8.0,0.0,2.0,1.0,0.0,10.0,4.0
rs,16,A,2026-07-01T10:34:19.836819,25.0,68.0,3.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,7.0,6.0
rs,17,A,2026-07-01T10:34:50.551306,29.0,50.0,2.0,8.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,9.0
rs,18,A,2026-07-01T10:34:53.233568,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
rs,19,A,2026-07-01T10:34:56.452312,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
rs,20,A,2026-07-01T10:34:58.920984,42.0,43.0,12.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,10.0
